From state 179:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 180:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 181:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 182:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 183:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 184:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 185:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 186:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 187:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 188:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 189:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 190:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 191:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 192:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 193:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 194:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 195:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 196:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 197:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 198:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 199:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 200:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 201:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 202:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 203:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 204:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 205:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 206:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 207:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 208:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 209:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 210:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 211:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 212:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 213:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 214:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 215:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 216:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 217:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 218:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 219:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 220:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 221:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 222:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 223:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 224:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 225:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 226:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 227:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 228:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 229:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 230:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 231:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 232:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 233:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 234:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 235:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 236:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 237:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 238:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 239:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 240:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 241:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
